datetime,total_demand_kwh
2011-11-23 10:00:00,0.15
2011-11-23 10:30:00,0.07
2011-11-23 11:00:00,0.033
2011-11-23 11:30:00,0.183
2011-11-23 12:00:00,0.315
2011-11-23 12:30:00,0.201
2011-11-23 13:00:00,0.146
2011-11-23 13:30:00,0.176
2011-11-23 14:00:00,0.092
2011-11-23 14:30:00,0.093
2011-11-23 15:00:00,0.158
2011-11-23 15:30:00,0.142
2011-11-23 16:00:00,0.066
2011-11-23 16:30:00,0.08
2011-11-23 17:00:00,0.062
2011-11-23 17:30:00,0.063
2011-11-23 18:00:00,0.084
2011-11-23 18:30:00,0.044
2011-11-23 19:00:00,0.055
2011-11-23 19:30:00,0.066
2011-11-23 20:00:00,0.045
2011-11-23 20:30:00,0.05
2011-11-23 21:00:00,0.053
2011-11-23 21:30:00,0.066
2011-11-23 22:00:00,0.034
2011-11-23 22:30:00,0.066
2011-11-23 23:00:00,0.195
2011-11-23 23:30:00,0.248
2011-11-24 00:00:00,0.271
2011-11-24 00:30:00,0.176
2011-11-24 01:00:00,0.118
2011-11-24 01:30:00,0.115
2011-11-24 02:00:00,0.114
2011-11-24 02:30:00,0.111
2011-11-24 03:00:00,0.055
2011-11-24 03:30:00,0.048
2011-11-24 04:00:00,0.076
2011-11-24 04:30:00,0.051
2011-11-24 05:00:00,0.058
2011-11-24 05:30:00,0.073
2011-11-24 06:00:00,0.034
2011-11-24 06:30:00,0.05
2011-11-24 07:00:00,0.219
2011-11-24 07:30:00,0.442
2011-11-24 08:00:00,0.241
2011-11-24 08:30:00,0.033
2011-11-24 09:00:00,0.071
2011-11-24 09:30:00,0.126
2011-11-24 10:00:00,0.11099999999999999
2011-11-24 10:30:00,0.149
2011-11-24 11:00:00,0.164
2011-11-24 11:30:00,0.093
2011-11-24 12:00:00,0.278
2011-11-24 12:30:00,0.287
2011-11-24 13:00:00,0.9990000000000001
2011-11-24 13:30:00,0.505
2011-11-24 14:00:00,0.6960000000000001
2011-11-24 14:30:00,0.29400000000000004
2011-11-24 15:00:00,0.384
