datetime,total_demand_kwh,hour,month,is_winter,ev_charging_period,hp_operating_period,ev_additional_demand_kwh,hp_additional_demand_kwh,total_additional_demand_kwh,future_demand_kwh,future_stress_event,scenario
2013-01-01 00:00:00,220.013,0,1,1,0,0,0.0,0.0,0.0,220.013,0,Extreme
2013-01-01 00:30:00,204.27,0,1,1,0,0,0.0,0.0,0.0,204.27,0,Extreme
2013-01-01 01:00:00,189.439,1,1,1,0,0,0.0,0.0,0.0,189.439,0,Extreme
2013-01-01 01:30:00,173.019,1,1,1,0,0,0.0,0.0,0.0,173.019,0,Extreme
2013-01-01 02:00:00,154.537,2,1,1,0,0,0.0,0.0,0.0,154.537,0,Extreme
2013-01-01 02:30:00,147.255,2,1,1,0,0,0.0,0.0,0.0,147.255,0,Extreme
2013-01-01 03:00:00,138.952,3,1,1,0,0,0.0,0.0,0.0,138.952,0,Extreme
2013-01-01 03:30:00,129.993,3,1,1,0,0,0.0,0.0,0.0,129.993,0,Extreme
2013-01-01 04:00:00,120.971,4,1,1,0,0,0.0,0.0,0.0,120.971,0,Extreme
2013-01-01 04:30:00,119.493,4,1,1,0,0,0.0,0.0,0.0,119.493,0,Extreme
2013-01-01 05:00:00,113.919,5,1,1,0,0,0.0,0.0,0.0,113.919,0,Extreme
2013-01-01 05:30:00,114.222,5,1,1,0,0,0.0,0.0,0.0,114.222,0,Extreme
2013-01-01 06:00:00,114.154,6,1,1,0,1,0.0,40.0,40.0,154.154,0,Extreme
2013-01-01 06:30:00,120.841,6,1,1,0,1,0.0,40.0,40.0,160.841,0,Extreme
2013-01-01 07:00:00,132.388,7,1,1,0,1,0.0,40.0,40.0,172.388,0,Extreme
2013-01-01 07:30:00,140.03,7,1,1,0,1,0.0,40.0,40.0,180.03,0,Extreme
2013-01-01 08:00:00,157.244,8,1,1,0,1,0.0,40.0,40.0,197.244,0,Extreme
2013-01-01 08:30:00,169.226,8,1,1,0,1,0.0,40.0,40.0,209.226,0,Extreme
2013-01-01 09:00:00,186.424,9,1,1,0,1,0.0,40.0,40.0,226.424,0,Extreme
2013-01-01 09:30:00,200.115,9,1,1,0,1,0.0,40.0,40.0,240.115,0,Extreme
2013-01-01 10:00:00,215.592,10,1,1,0,0,0.0,0.0,0.0,215.592,0,Extreme
2013-01-01 10:30:00,227.6,10,1,1,0,0,0.0,0.0,0.0,227.6,0,Extreme
2013-01-01 11:00:00,241.822,11,1,1,0,0,0.0,0.0,0.0,241.822,0,Extreme
2013-01-01 11:30:00,245.97,11,1,1,0,0,0.0,0.0,0.0,245.97,0,Extreme
2013-01-01 12:00:00,246.675,12,1,1,0,0,0.0,0.0,0.0,246.675,0,Extreme
2013-01-01 12:30:00,249.556,12,1,1,0,0,0.0,0.0,0.0,249.556,0,Extreme
2013-01-01 13:00:00,254.571,13,1,1,0,0,0.0,0.0,0.0,254.571,0,Extreme
2013-01-01 13:30:00,258.99,13,1,1,0,0,0.0,0.0,0.0,258.99,0,Extreme
2013-01-01 14:00:00,250.196,14,1,1,0,0,0.0,0.0,0.0,250.196,0,Extreme
2013-01-01 14:30:00,259.192,14,1,1,0,0,0.0,0.0,0.0,259.192,0,Extreme
2013-01-01 15:00:00,257.18,15,1,1,0,0,0.0,0.0,0.0,257.18,0,Extreme
2013-01-01 15:30:00,278.687,15,1,1,0,0,0.0,0.0,0.0,278.687,0,Extreme
2013-01-01 16:00:00,292.807,16,1,1,0,0,0.0,0.0,0.0,292.807,0,Extreme
2013-01-01 16:30:00,321.801,16,1,1,0,0,0.0,0.0,0.0,321.801,0,Extreme
2013-01-01 17:00:00,340.929,17,1,1,1,1,80.0,40.0,120.0,460.929,1,Extreme
2013-01-01 17:30:00,365.262,17,1,1,1,1,80.0,40.0,120.0,485.262,1,Extreme
2013-01-01 18:00:00,380.276,18,1,1,1,1,80.0,40.0,120.0,500.276,1,Extreme
2013-01-01 18:30:00,393.608,18,1,1,1,1,80.0,40.0,120.0,513.608,1,Extreme
2013-01-01 19:00:00,382.633,19,1,1,1,1,80.0,40.0,120.0,502.633,1,Extreme
2013-01-01 19:30:00,389.962,19,1,1,1,1,80.0,40.0,120.0,509.962,1,Extreme
2013-01-01 20:00:00,371.533,20,1,1,1,1,80.0,40.0,120.0,491.533,1,Extreme
2013-01-01 20:30:00,350.368,20,1,1,1,1,80.0,40.0,120.0,470.368,1,Extreme
2013-01-01 21:00:00,338.078,21,1,1,1,1,80.0,40.0,120.0,458.078,1,Extreme
2013-01-01 21:30:00,326.781,21,1,1,1,1,80.0,40.0,120.0,446.781,1,Extreme
2013-01-01 22:00:00,314.719,22,1,1,0,1,0.0,40.0,40.0,354.719,1,Extreme
2013-01-01 22:30:00,303.012,22,1,1,0,1,0.0,40.0,40.0,343.012,0,Extreme
2013-01-01 23:00:00,271.11,23,1,1,0,0,0.0,0.0,0.0,271.11,0,Extreme
2013-01-01 23:30:00,235.85,23,1,1,0,0,0.0,0.0,0.0,235.85,0,Extreme
2013-01-02 00:00:00,198.338,0,1,1,0,0,0.0,0.0,0.0,198.338,0,Extreme
2013-01-02 00:30:00,165.862,0,1,1,0,0,0.0,0.0,0.0,165.862,0,Extreme
2013-01-02 01:00:00,147.971,1,1,1,0,0,0.0,0.0,0.0,147.971,0,Extreme
2013-01-02 01:30:00,129.889,1,1,1,0,0,0.0,0.0,0.0,129.889,0,Extreme
2013-01-02 02:00:00,117.542,2,1,1,0,0,0.0,0.0,0.0,117.542,0,Extreme
2013-01-02 02:30:00,113.493,2,1,1,0,0,0.0,0.0,0.0,113.493,0,Extreme
2013-01-02 03:00:00,109.344,3,1,1,0,0,0.0,0.0,0.0,109.344,0,Extreme
2013-01-02 03:30:00,108.841,3,1,1,0,0,0.0,0.0,0.0,108.841,0,Extreme
2013-01-02 04:00:00,107.518,4,1,1,0,0,0.0,0.0,0.0,107.518,0,Extreme
2013-01-02 04:30:00,109.594,4,1,1,0,0,0.0,0.0,0.0,109.594,0,Extreme
2013-01-02 05:00:00,117.266,5,1,1,0,0,0.0,0.0,0.0,117.266,0,Extreme
2013-01-02 05:30:00,116.843,5,1,1,0,0,0.0,0.0,0.0,116.843,0,Extreme
2013-01-02 06:00:00,122.726,6,1,1,0,1,0.0,40.0,40.0,162.726,0,Extreme
2013-01-02 06:30:00,139.598,6,1,1,0,1,0.0,40.0,40.0,179.598,0,Extreme
2013-01-02 07:00:00,156.365,7,1,1,0,1,0.0,40.0,40.0,196.365,0,Extreme
2013-01-02 07:30:00,183.375,7,1,1,0,1,0.0,40.0,40.0,223.375,0,Extreme
