datetime,total_demand_kwh,hour,month,is_winter,ev_charging_period,hp_operating_period,ev_additional_demand_kwh,hp_additional_demand_kwh,total_additional_demand_kwh,future_demand_kwh,future_stress_event,scenario
2013-01-18 19:00:00,464.916,19,1,1,1,1,80.0,40.0,120.0,584.9159999999999,1,Extreme
2013-02-05 19:00:00,458.238,19,2,1,1,1,80.0,40.0,120.0,578.238,1,Extreme
2013-02-05 19:30:00,457.803,19,2,1,1,1,80.0,40.0,120.0,577.803,1,Extreme
2013-01-18 18:30:00,457.741,18,1,1,1,1,80.0,40.0,120.0,577.741,1,Extreme
2013-01-17 19:30:00,454.107,19,1,1,1,1,80.0,40.0,120.0,574.107,1,Extreme
2013-01-18 19:30:00,452.529,19,1,1,1,1,80.0,40.0,120.0,572.529,1,Extreme
2013-02-05 20:00:00,446.926,20,2,1,1,1,80.0,40.0,120.0,566.9259999999999,1,Extreme
2013-01-13 18:00:00,445.909,18,1,1,1,1,80.0,40.0,120.0,565.909,1,Extreme
2013-02-05 18:30:00,445.888,18,2,1,1,1,80.0,40.0,120.0,565.8879999999999,1,Extreme
2013-01-17 19:00:00,445.821,19,1,1,1,1,80.0,40.0,120.0,565.821,1,Extreme
2013-01-21 19:00:00,443.979,19,1,1,1,1,80.0,40.0,120.0,563.979,1,Extreme
2013-01-21 19:30:00,443.365,19,1,1,1,1,80.0,40.0,120.0,563.365,1,Extreme
2013-01-22 19:00:00,442.193,19,1,1,1,1,80.0,40.0,120.0,562.193,1,Extreme
2013-01-20 17:00:00,440.915,17,1,1,1,1,80.0,40.0,120.0,560.915,1,Extreme
2013-01-13 18:30:00,440.197,18,1,1,1,1,80.0,40.0,120.0,560.197,1,Extreme
2013-02-05 18:00:00,438.898,18,2,1,1,1,80.0,40.0,120.0,558.898,1,Extreme
2013-01-23 18:30:00,438.815,18,1,1,1,1,80.0,40.0,120.0,558.815,1,Extreme
2013-01-23 19:00:00,438.405,19,1,1,1,1,80.0,40.0,120.0,558.405,1,Extreme
