datetime,total_demand_kwh,ev_load_kwh,simulated_demand_kwh,simulated_stress_event
2013-01-18 19:00:00,464.916,80.0,544.9159999999999,1
2013-02-05 19:00:00,458.238,80.0,538.238,1
2013-02-05 19:30:00,457.803,80.0,537.803,1
2013-01-18 18:30:00,457.741,80.0,537.741,1
2013-01-17 19:30:00,454.107,80.0,534.107,1
2013-01-18 19:30:00,452.529,80.0,532.529,1
2013-02-05 20:00:00,446.926,80.0,526.9259999999999,1
2013-01-13 18:00:00,445.909,80.0,525.909,1
2013-02-05 18:30:00,445.888,80.0,525.8879999999999,1
2013-01-17 19:00:00,445.821,80.0,525.821,1
2013-01-21 19:00:00,443.979,80.0,523.979,1
2013-01-21 19:30:00,443.365,80.0,523.365,1
2013-01-22 19:00:00,442.193,80.0,522.193,1
2013-01-13 18:30:00,440.197,80.0,520.197,1
2013-03-11 19:30:00,439.335,80.0,519.335,1
2013-02-05 18:00:00,438.898,80.0,518.898,1
2013-01-23 18:30:00,438.815,80.0,518.815,1
2013-01-23 19:00:00,438.405,80.0,518.405,1
2013-01-15 19:00:00,438.314,80.0,518.3140000000001,1
2013-03-11 20:00:00,438.219,80.0,518.219,1
2013-01-22 18:30:00,438.194,80.0,518.194,1
2013-03-11 19:00:00,436.664,80.0,516.664,1
2013-03-24 19:00:00,436.343,80.0,516.3430000000001,1
2013-03-24 19:30:00,436.213,80.0,516.213,1
2013-03-25 19:30:00,435.857,80.0,515.857,1
2013-01-13 19:00:00,435.428,80.0,515.428,1
2013-01-24 19:00:00,434.842,80.0,514.842,1
2013-01-20 18:30:00,434.653,80.0,514.653,1
2013-01-22 19:30:00,432.699,80.0,512.6990000000001,1
2013-01-16 18:30:00,432.44,80.0,512.44,1
2013-01-14 19:00:00,431.883,80.0,511.883,1
2013-01-21 18:30:00,431.597,80.0,511.597,1
2013-01-24 18:30:00,431.04,80.0,511.04,1
2013-01-25 19:30:00,430.488,80.0,510.488,1
2013-02-10 18:30:00,430.057,80.0,510.057,1
2013-02-09 19:00:00,429.418,80.0,509.418,1
2013-01-21 20:00:00,429.403,80.0,509.403,1
2013-01-23 19:30:00,429.381,80.0,509.381,1
2013-01-16 19:30:00,429.114,80.0,509.114,1
2013-01-20 19:00:00,429.073,80.0,509.073,1
2013-01-25 19:00:00,428.795,80.0,508.795,1
2013-02-07 19:00:00,428.108,80.0,508.108,1
2013-02-05 20:30:00,428.095,80.0,508.095,1
2013-01-28 19:30:00,428.06,80.0,508.06,1
2013-02-12 19:00:00,427.792,80.0,507.792,1
2013-01-16 19:00:00,427.706,80.0,507.706,1
