datetime,total_demand_kwh,hp_load_kwh,simulated_demand_kwh,simulated_stress_event
2013-01-18 19:00:00,464.916,40.0,504.916,1
2013-02-05 19:00:00,458.238,40.0,498.238,1
2013-02-05 19:30:00,457.803,40.0,497.803,1
2013-01-18 18:30:00,457.741,40.0,497.741,1
2013-01-17 19:30:00,454.107,40.0,494.107,1
2013-01-18 19:30:00,452.529,40.0,492.529,1
2013-02-05 20:00:00,446.926,40.0,486.926,1
2013-01-13 18:00:00,445.909,40.0,485.909,1
2013-02-05 18:30:00,445.888,40.0,485.888,1
2013-01-17 19:00:00,445.821,40.0,485.821,1
2013-01-21 19:00:00,443.979,40.0,483.979,1
2013-01-21 19:30:00,443.365,40.0,483.365,1
2013-01-22 19:00:00,442.193,40.0,482.193,1
2013-01-13 18:30:00,440.197,40.0,480.197,1
2013-02-05 18:00:00,438.898,40.0,478.898,1
2013-01-23 18:30:00,438.815,40.0,478.815,1
2013-01-23 19:00:00,438.405,40.0,478.405,1
2013-01-15 19:00:00,438.314,40.0,478.314,1
2013-01-22 18:30:00,438.194,40.0,478.194,1
2013-01-13 19:00:00,435.428,40.0,475.428,1
2013-01-24 19:00:00,434.842,40.0,474.842,1
2013-01-20 18:30:00,434.653,40.0,474.653,1
2013-01-22 19:30:00,432.699,40.0,472.699,1
2013-01-16 18:30:00,432.44,40.0,472.44,1
2013-01-14 19:00:00,431.883,40.0,471.883,1
2013-01-21 18:30:00,431.597,40.0,471.597,1
2013-01-24 18:30:00,431.04,40.0,471.04,1
2013-01-25 19:30:00,430.488,40.0,470.488,1
2013-02-10 18:30:00,430.057,40.0,470.057,1
2013-02-09 19:00:00,429.418,40.0,469.418,1
2013-01-21 20:00:00,429.403,40.0,469.403,1
2013-01-23 19:30:00,429.381,40.0,469.381,1
2013-01-16 19:30:00,429.114,40.0,469.114,1
2013-01-20 19:00:00,429.073,40.0,469.073,1
2013-01-25 19:00:00,428.795,40.0,468.795,1
2013-02-07 19:00:00,428.108,40.0,468.108,1
2013-02-05 20:30:00,428.095,40.0,468.095,1
2013-01-28 19:30:00,428.06,40.0,468.06,1
2013-02-12 19:00:00,427.792,40.0,467.792,1
2013-01-16 19:00:00,427.706,40.0,467.706,1
2013-01-15 19:30:00,427.621,40.0,467.621,1
2013-01-18 18:00:00,427.579,40.0,467.579,1
