Year,Quarter,Quarter_Number,Period_Label,Quarter_Start,Air_Source_Heat_Pumps,Ground_Source_Heat_Pumps,Total_Heat_Pumps,Calculated_Total,Total_Difference,Period
2018,Q1,1,2018 Q1: January to March,2018-01-01,1343.0,171.0,1514.0,1514.0,0.0,2018Q1
2018,Q2,2,2018 Q2: April to June,2018-04-01,1365.0,133.0,1498.0,1498.0,0.0,2018Q2
2018,Q3,3,2018 Q3: July to September,2018-07-01,1753.0,146.0,1899.0,1899.0,0.0,2018Q3
2018,Q4,4,2018 Q4: October to December,2018-10-01,2204.0,212.0,2416.0,2416.0,0.0,2018Q4
2019,Q1,1,2019 Q1: January to March,2019-01-01,2149.0,142.0,2291.0,2291.0,0.0,2019Q1
2019,Q2,2,2019 Q2: April to June,2019-04-01,2104.0,182.0,2286.0,2286.0,0.0,2019Q2
2019,Q3,3,2019 Q3: July to September,2019-07-01,2372.0,191.0,2563.0,2563.0,0.0,2019Q3
2019,Q4,4,2019 Q4: October to December,2019-10-01,2848.0,264.0,3112.0,3112.0,0.0,2019Q4
2020,Q1,1,2020 Q1: January to March,2020-01-01,2827.0,248.0,3075.0,3075.0,0.0,2020Q1
2020,Q2,2,2020 Q2: April to June,2020-04-01,1159.0,114.0,1273.0,1273.0,0.0,2020Q2
2020,Q3,3,2020 Q3: July to September,2020-07-01,2728.0,225.0,2953.0,2953.0,0.0,2020Q3
2020,Q4,4,2020 Q4: October to December,2020-10-01,3536.0,359.0,3895.0,3895.0,0.0,2020Q4
2021,Q1,1,2021 Q1: January to March,2021-01-01,4169.0,445.0,4614.0,4614.0,0.0,2021Q1
2021,Q2,2,2021 Q2: April to June,2021-04-01,5662.0,321.0,5983.0,5983.0,0.0,2021Q2
2021,Q3,3,2021 Q3: July to September,2021-07-01,5895.0,490.0,6385.0,6385.0,0.0,2021Q3
2021,Q4,4,2021 Q4: October to December,2021-10-01,6059.0,466.0,6525.0,6525.0,0.0,2021Q4
2022,Q1,1,2022 Q1: January to March [note 5],2022-01-01,9516.0,1493.0,11009.0,11009.0,0.0,2022Q1
2022,Q2,2,2022 Q2: April to June,2022-04-01,3160.0,57.0,3217.0,3217.0,0.0,2022Q2
2022,Q3,3,2022 Q3: July to September,2022-07-01,5426.0,59.0,5485.0,5485.0,0.0,2022Q3
2022,Q4,4,2022 Q4: October to December,2022-10-01,6483.0,98.0,6581.0,6581.0,0.0,2022Q4
2023,Q1,1,2023 Q1: January to March,2023-01-01,7201.0,118.0,7319.0,7319.0,0.0,2023Q1
2023,Q2,2,2023 Q2: April to June,2023-04-01,7511.0,134.0,7645.0,7645.0,0.0,2023Q2
2023,Q3,3,2023 Q3: July to September,2023-07-01,8125.0,132.0,8257.0,8257.0,0.0,2023Q3
2023,Q4,4,2023 Q4: October to December,2023-10-01,9058.0,114.0,9172.0,9172.0,0.0,2023Q4
2024,Q1,1,2024 Q1: January to March,2024-01-01,10495.0,113.0,10608.0,10608.0,0.0,2024Q1
2024,Q2,2,2024 Q2: April to June,2024-04-01,11832.0,74.0,11906.0,11906.0,0.0,2024Q2
2024,Q3,3,2024 Q3: July to September,2024-07-01,12701.0,81.0,12782.0,12782.0,0.0,2024Q3
2024,Q4,4,2024 Q4: October to December,2024-10-01,13290.0,91.0,13381.0,13381.0,0.0,2024Q4
2025,Q1,1,2025 Q1: January to March,2025-01-01,13395.0,62.0,13457.0,13457.0,0.0,2025Q1
2025,Q2,2,2025 Q2: April to June,2025-04-01,12622.0,86.0,12708.0,12708.0,0.0,2025Q2
2025,Q3,3,2025 Q3: July to September,2025-07-01,12983.0,57.0,13040.0,13040.0,0.0,2025Q3
2025,Q4,4,2025 Q4: October to December,2025-10-01,12609.0,72.0,12681.0,12681.0,0.0,2025Q4
