year_month,total_observations,stress_events,mean_demand_kwh,maximum_demand_kwh,stress_percentage
2013-01,1392,270,253.9727363505747,464.916,19.396551724137932
2013-02,1344,197,247.92075892857142,458.238,14.657738095238097
2013-03,1488,154,242.0070114247312,439.335,10.349462365591398
2013-04,1440,9,198.3591027777778,369.213,0.625
2013-05,1488,0,176.92897849462366,298.531,0.0
2013-06,1440,0,167.23097638888888,268.938,0.0
2013-07,1488,0,161.2286391129032,249.82,0.0
2013-08,1488,0,159.03804637096775,269.593,0.0
2013-09,1440,0,174.44871458333333,312.602,0.0
2013-10,1488,0,187.5295510752688,345.995,0.0
2013-11,1440,53,216.70380069444445,416.762,3.680555555555556
2013-12,1488,111,230.7464516129032,424.263,7.459677419354839
2014-01,1488,137,227.13270295698925,413.463,9.206989247311828
2014-02,1297,80,221.04494988434848,400.698,6.168080185042406
