datetime,total_demand_kwh,stress_event
2013-01-03 00:00:00,209.864,0
2013-01-03 00:30:00,175.02,0
2013-01-03 01:00:00,151.394,0
2013-01-03 01:30:00,137.672,0
2013-01-03 02:00:00,128.217,0
2013-01-03 02:30:00,121.28,0
2013-01-03 03:00:00,116.156,0
2013-01-03 03:30:00,111.425,0
2013-01-03 04:00:00,108.828,0
2013-01-03 04:30:00,108.442,0
2013-01-03 05:00:00,112.105,0
2013-01-03 05:30:00,114.017,0
2013-01-03 06:00:00,118.367,0
2013-01-03 06:30:00,141.766,0
2013-01-03 07:00:00,162.64,0
2013-01-03 07:30:00,190.39,0
2013-01-03 08:00:00,207.592,0
2013-01-03 08:30:00,219.186,0
2013-01-03 09:00:00,220.044,0
2013-01-03 09:30:00,221.745,0
2013-01-03 10:00:00,232.477,0
2013-01-03 10:30:00,227.135,0
2013-01-03 11:00:00,228.455,0
2013-01-03 11:30:00,227.162,0
2013-01-03 12:00:00,222.314,0
2013-01-03 12:30:00,227.545,0
2013-01-03 13:00:00,211.246,0
2013-01-03 13:30:00,213.364,0
2013-01-03 14:00:00,213.996,0
2013-01-03 14:30:00,222.377,0
2013-01-03 15:00:00,227.957,0
2013-01-03 15:30:00,235.391,0
2013-01-03 16:00:00,253.529,0
2013-01-03 16:30:00,287.876,0
2013-01-03 17:00:00,319.13,0
2013-01-03 17:30:00,339.772,0
2013-01-03 18:00:00,374.315,1
2013-01-03 18:30:00,388.485,1
2013-01-03 19:00:00,391.905,1
2013-01-03 19:30:00,390.105,1
2013-01-03 20:00:00,368.694,1
2013-01-03 20:30:00,354.367,1
2013-01-03 21:00:00,340.539,0
2013-01-03 21:30:00,329.078,0
2013-01-03 22:00:00,303.457,0
2013-01-03 22:30:00,298.568,0
2013-01-03 23:00:00,274.362,0
2013-01-03 23:30:00,238.719,0
2013-01-04 00:00:00,200.578,0
2013-01-04 00:30:00,173.991,0
2013-01-04 01:00:00,148.068,0
2013-01-04 01:30:00,129.552,0
2013-01-04 02:00:00,118.146,0
2013-01-04 02:30:00,113.486,0
2013-01-04 03:00:00,108.441,0
2013-01-04 03:30:00,104.799,0
2013-01-04 04:00:00,105.668,0
2013-01-04 04:30:00,103.581,0
2013-01-04 05:00:00,106.881,0
2013-01-04 05:30:00,109.985,0
2013-01-04 06:00:00,117.627,0
2013-01-04 06:30:00,135.69,0
